NO,KECAMATAN,LUAS (km2),DESA ,DESA+KEL,PENDUDUK,KEPADATAN (KM2)
1,Ampek Angkek,30.7,7,7,46628,1520.8
2,Ampek Nagari,268.7,4,4,31003,115.4
3,Banuhampu,28.5,7,7,41531,1458.3
4,Baso,70.3,6,6,36915,525.1
5,Candung,52.3,3,3,25787,493.2
6,IV Koto,68.7,7,7,26100,379.8
7,Kamang Magek,99.6,3,3,22802,228.9
8,Lubuk Basung,278.4,5,5,82351,295.8
9,Malalak,104.5,4,4,10733,102.7
10,Matur,93.7,6,6,19230,205.3
11,Palembayan,349.8,6,6,36605,104.7
12,Palupuh,236.3,4,4,15228,64.4
13,Sungai Pua,37.8,5,5,26847,709.7
14,Tanjung Mutiara,205.7,3,3,33388,162.3
15,Tanjung Raya,244.0,9,9,37643,154.3
16,Tilatang Kamang,95.9,3,3,41411,43199.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
