No_Resp,Adv,Mon,Ino,Dana,JP,Kapa,APD,Ontime,Lab,Imun,Prom,Susp,Inisiasi,Gizi,Sanitasi,Kontak,Lengkap,Sembuh,Lost,Kasus,Death
1,3,8,1,11000000,5,3,752,11,258,307,2,284,46,14,14,24,35,13,0,46,2
2,3,8,1,15000000,5,1,500,9,101,124,3,94,19,5,5,5,17,4,0,19,0
3,5,14,2,10000000,7,4,850,12,322,627,4,534,158,15,15,15,168,25,2,165,2
4,3,12,1,16500000,6,3,800,12,223,504,3,337,83,0,35,10,77,13,0,85,1
5,2,8,1,18000000,4,1,650,12,155,134,3,204,20,0,9,9,15,7,1,21,1
6,1,8,1,22000000,5,1,620,11,140,274,2,234,43,16,0,16,34,19,0,46,0
7,2,7,2,5000000,5,3,650,12,250,233,3,310,43,24,24,24,30,11,1,46,0
8,3,9,1,15000000,5,2,700,12,187,286,2,269,25,15,15,15,22,4,0,25,0
9,2,7,1,20000000,5,2,650,11,157,233,3,156,16,17,17,17,7,7,0,16,1
10,4,8,1,13000000,4,1,600,12,252,122,2,243,19,8,6,7,10,3,0,19,0
11,3,8,1,2000000,5,2,650,12,233,418,2,316,24,7,7,7,21,7,1,24,0
12,3,4,1,5000000,5,3,739,12,254,330,3,222,29,0,10,18,0,29,0,30,0
13,2,8,1,15000000,5,2,670,12,230,102,2,104,7,12,12,12,6,5,0,8,1
14,5,12,1,4000000,6,4,800,12,321,400,4,348,29,16,3,23,4,19,0,29,3
15,2,8,1,8000000,5,4,700,12,107,296,4,190,31,30,30,30,6,10,2,31,0
16,4,15,2,14000000,7,3,850,12,442,640,4,430,42,20,20,32,15,21,1,43,0
17,2,7,1,16000000,4,1,750,12,127,281,2,126,21,20,20,20,4,10,0,22,0
18,3,11,1,15000000,6,2,750,12,237,265,4,237,28,21,21,21,9,15,0,29,1
19,2,8,1,50000000,4,2,600,11,171,159,2,58,5,11,11,11,1,3,0,10,0
20,2,7,1,11000000,6,1,652,12,121,217,2,114,8,11,11,12,3,5,0,13,0
21,4,8,1,24000000,5,3,700,12,167,254,4,173,24,28,28,28,8,12,1,27,1
22,2,6,1,5000000,5,2,600,10,111,197,3,98,6,5,5,5,2,9,0,6,0
23,2,8,1,10315000,4,1,600,12,165,179,3,165,13,13,0,13,7,6,1,13,0
24,0,2,1,9000000,4,0,1446,10,68,244,0,122,36,6,6,20,17,16,2,36,1
25,0,0,1,10000000,5,0,945,11,22,113,0,20,11,5,6,5,11,0,0,12,1
26,1,3,2,10000000,6,2,2050,11,78,610,1,299,84,20,20,0,77,4,5,86,2
27,0,2,1,16500000,5,2,1750,11,92,475,1,170,56,0,57,30,34,17,2,58,1
28,0,1,1,19000000,4,1,1350,10,70,123,0,82,12,0,7,7,9,2,1,17,0
29,0,1,1,20000000,4,0,1450,10,69,248,0,75,21,20,0,16,19,0,2,23,0
30,2,2,2,3303341,5,0,1520,12,32,168,0,65,19,7,7,7,13,5,2,19,1
31,1,0,1,15000000,5,1,1300,11,166,190,0,178,38,16,16,16,32,4,0,35,1
32,0,0,1,10000000,4,0,1212,11,37,277,0,37,12,10,10,12,10,0,1,12,2
33,2,0,1,13000000,4,0,1390,12,77,111,0,80,7,5,4,5,7,0,0,5,0
34,0,0,1,3000000,4,1,1400,12,102,379,0,157,10,0,0,4,9,1,0,10,0
35,0,0,0,15000000,4,0,1389,12,131,263,0,114,22,0,5,5,2,19,0,22,2
36,0,0,1,6000000,4,0,1298,11,98,92,0,93,6,7,7,7,3,1,0,5,2
37,1,2,1,3000000,5,2,1674,12,62,242,0,60,23,3,1,6,9,12,1,21,3
38,0,1,0,8400000,5,1,1350,12,27,240,0,93,19,30,27,27,5,10,0,20,1
39,1,2,2,12000000,6,1,1650,12,232,442,2,211,22,21,21,18,9,13,0,24,3
40,0,0,1,13350000,4,0,1400,12,86,298,0,88,15,18,18,18,1,11,1,17,2
41,1,1,1,35000000,5,1,1750,12,139,278,3,139,19,12,12,12,11,8,0,19,1
42,0,1,1,13000000,4,0,1300,10,29,164,0,30,2,8,8,0,2,0,0,3,0
43,0,0,0,8000000,5,0,1250,10,53,201,0,48,18,9,9,4,8,9,1,17,0
44,0,2,1,24000000,5,1,1850,12,120,253,1,118,22,28,20,23,12,7,2,21,1
45,0,0,1,5000000,4,0,1300,12,22,173,0,22,1,5,5,5,1,0,0,1,2
46,0,1,1,49373000,4,0,1126,11,105,177,0,105,6,0,0,6,1,4,1,6,0
